projectid	pg_ebook_number	state	title	author	pages_total
projectID6741cc96e9016	78658	proj_submit_pgposted	Pompeii	Engelmann, Richard	119
projectID6743882c91aa0	78728	proj_submit_pgposted	Brasses	Ward, J. S. M.	172
projectID674618d8ac147	79076	proj_submit_pgposted	How to keep bees	Comstock, Anna Botsford	281
projectID6764fa6501c4c	79380	proj_submit_pgposted	Collected poems of Alice Meynell	Meynell, Alice	120
projectID67657a56ec0f1	78873	proj_submit_pgposted	Clendenen's detective manual	Clendenen, Rufus Howard.	219
projectID6768aa3df249f	78746	proj_submit_pgposted	Sweden; through the artist's eye	Laurin, Carl G.	62
projectID6768b9cfe785b	78758	proj_submit_pgposted	Six months in America. Vol. 2 of 2	Vigne, Godfrey Thomas	284
projectID676addf5e1395	79363	proj_submit_pgposted	Poems	Blake, William; Introduction by Meynell, Alice	245
projectID67742d057484d	78958	proj_submit_pgposted	American root drugs	Henkel, Alice	94
projectID677581234eac1	79224	proj_submit_pgposted	Practical podiatry	Joseph, Alfred; Burnett, E. K.; Gross, Reuben H.	479
projectID6778e8b8c552d	78949	proj_submit_pgposted	The second person singular, and other essays	Meynell, Alice	142
projectID677c9c82f3d25	78947	proj_submit_pgposted	The poems of Thomas Gordon Hake	Hake, Thomas Gordon	181
projectID677ef84e66ede	78708	proj_submit_pgposted	The burning of Chelsea	Pratt, Walter Merriam.	213
projectID678006530b3c1	79143	proj_submit_pgposted	The poetry of pathos & delight	Patmore, Coventry	154
projectID67840fcd42330	78799	proj_submit_pgposted	The kitchen garden and the cook	Pearse, Cecilia Maria	292
projectID67950facae24a	78952	proj_submit_pgposted	Flower legends for children	Murray, Hilda	70
projectID6797a18216400	79354	proj_submit_pgposted	How not to be a wallflower	Woodworth, John	64
projectID67a80fde44d34	78722	proj_submit_pgposted	The toll-keepers and other stories for the young	Clarke, Benjamin	98
projectID67ab737391ded	79207	proj_submit_pgposted	Number one Joy street	Various	252
projectID67ada216248c9	79150	proj_submit_pgposted	Number two Joy street	Various	250
projectID67af827499fb9	79304	proj_submit_pgposted	What to do in cases of accidents and emergencies	Lawrence, Joseph B.	139
projectID67b1ef7719fb8	79015	proj_submit_pgposted	The heart of an orphan	Chase, Amanda Mathews	174
projectID67ba37cba77b8	78804	proj_submit_pgposted	Studies of chess; containing Caïssa, a poem	Jones, William & Philidor, F. D. & Pratt, Peter	560
projectID67bf88cb7a1df	79110	proj_submit_pgposted	Wild medicinal plants of the United States	Henkel, Alice	76
projectID67d1b23c7c642	79337	proj_submit_pgposted	Number three Joy street	Various	250
projectID67ef01a6c5ed9	79234	proj_submit_pgposted	Two lectures introductory to the study of poetry	Beeching, H. C.	61
projectID680667ca78f0c	79130	proj_submit_pgposted	Thorns of regret; or, His brother's wife	Miller, Alex. McVeigh, Mrs.	320
projectID6808f89399a36	79172	proj_submit_pgposted	The Stone Age	Wood, Clement	62
projectID680bd16933ecb	79203	proj_submit_pgposted	Key to palmistry	Williams, Louis	32
projectID6814e35a6b014	79154	proj_submit_pgposted	The green overcoat	Belloc, Hilaire	334
projectID681609e70fe3a	78905	proj_submit_pgposted	Model yachts and model yacht sailing	Walton, James E.	102
projectID682b81a232008	78830	proj_submit_pgposted	On yacht etiquette	Patterson, Howard	97
projectID682f8aaccdcc7	79269	proj_submit_pgposted	The haunted house	Belloc, Hilaire	319
projectID6842d82992dbc	78988	proj_submit_pgposted	How to become mentally superior	Le Chatelier, Henry M.	32
projectID68462b8165a4b	78747	proj_submit_pgposted	The blacker the berry: a novel of negro life [1929]	Thurman, Wallace	264
projectID6847613b86a69	79257	proj_submit_pgposted	The Sun virgin [1929]	Dixon, Thomas	306
projectID68540ed9339e4	78996	proj_submit_pgposted	Psychology for beginners	Carrington, Hereward	61
projectID686193a0b3e79	79325	proj_submit_pgposted	Thoughts of a fool	Gladys, Evelyn [pseud. Kuehn, Herman]	260
projectID68658d72319cb	79010	proj_submit_pgposted	A book of European statistics	Markun, Leo	32
projectID68658fb9bdc7d	79200	proj_submit_pgposted	How to read and correct proof	Smith, Lloyd E.	32
projectID68683eff293db	78983	proj_submit_pgposted	What you should know about your sensations	Adams, Grace Kinckle	31
projectID686d84456c30d	78694	proj_submit_pgposted	The humor of "Bill" Nye	Nye, Bill	60
projectID687fa33eaf9c6	78927	proj_submit_pgposted	Strange marriage customs	Markun, Leo	32
projectID688e5e5fcf48b	78883	proj_submit_pgposted	The man from the river	Cole, G. D. H.; Cole, Margaret	308
projectID6894d64089588	79114	proj_submit_pgposted	Adventures of a donkey	Argus, Arabella	254
projectID6897614e6c502	78779	proj_submit_pgposted	Dark Hester	Sedgwick, Anne Douglas	304
projectID68a1f5977ef5f	79018	proj_submit_pgposted	Outline of Mexican popular arts and crafts [1922]	Porter, Katherine Anne	56
projectID68a7b417c11d6	78778	proj_submit_pgposted	The fifteen cells	Martin, Stuart	336
projectID68a86e26d4714	78919	proj_submit_pgposted	In camp and kitchen	Yates, Lucy H.	128
projectID68abc81304cd5	79159	proj_submit_pgposted	Jane Eyre: a drama in five acts. Adapted from Charlotte Brontë's novel by John Brougham [1856]	Brougham, John	36
projectID68ae09147dae9	79248	proj_submit_pgposted	A scarlet poppy, and other stories	Spofford, Harriett Prescott	287
projectID68b1a4a2b3830	79216	proj_submit_pgposted	Criminals	Middleton, George	55
projectID68b4448db95fc	78814	proj_submit_pgposted	Absenteeism	Morgan, Lady (Sydney)	188
projectID68bae4f45b359	78768	proj_submit_pgposted	The terrible meek	Kennedy, Charles Rann	53
projectID68bc7c5178eb2	78682	proj_submit_pgposted	The lily of Mordaunt	Sheldon, Georgie, Mrs.	292
projectID68cd8bd790a52	78962	proj_submit_pgposted	The Bible, should it be in the school room?	Steiner, Franklin	61
projectID68d027c6d32c2	79026	proj_submit_pgposted	The enterprising burglar	Balfour, Hearnden	315
projectID68d028b8ad177	78989	proj_submit_pgposted	The facts about rejuvenation	Fishbein, Morris	32
projectID68d283095a17f	79019	proj_submit_pgposted	The Poetical Works of Edgar Allan Poe (1858)	Edgar Allan Poe	376
projectID68e337f925d55	79171	proj_submit_pgposted	The Little Review: 1917/10 (Vol. 4, No. 6)	Anderson, Margaret C. (Ed.)	52
projectID68eaadbec1ca3	78985	proj_submit_pgposted	An introduction to philology	Wood, Clement	63
projectID68f01105d8245	78965	proj_submit_pgposted	Orthodoxy	Putnam, Nina Wilcox	47
projectID69027d8333570	78812	proj_submit_pgposted	Shadowed by a detective; or, The woman in wax	Champlin, Virginia	282
projectID6904bd9bc9ee7	78879	proj_submit_pgposted	Animals of ancient lands	Fenton, Carroll Lane	64
projectID6904bf671a7cf	79206	proj_submit_pgposted	The death of a millionaire	Cole, G. D. H.; Cole, Margaret	391
projectID690bf1e952ef1	79321	proj_submit_pgposted	Clare Abbey; or the trials of youth (vol. 1 of 2)	Ponsonby, Emily Charlotte Mary	314
projectID690de46b07181	78711	proj_submit_pgposted	Where the young child was	Oemler, Marie Conway	264
projectID690e13bd9e592	78938	proj_submit_pgposted	Over the Falls (1902)	Taylor, Annie Edson	16
projectID6914d765e9170	78906	proj_submit_pgposted	How to conquer stupidity	Markun, Leo	64
projectID6915d4d586120	79012	proj_submit_pgposted	The wolves and the lamb	Fletcher, J. S.	319
projectID691670bcd4af8	79324	proj_submit_pgposted	Clare Abbey; or the trials of youth (vol. 2 of 2)	Ponsonby, Emily Charlotte Mary	332
projectID69179731b6949	79124	proj_submit_pgposted	The best jokes about preachers	Milburn, George	64
projectID691799282c3ab	79263	proj_submit_pgposted	Our insect enemies	Randolph, Vance	64
projectID691cf5f9a8a12	78755	proj_submit_pgposted	Crack o' dawn	Davis, Fannie Stearns	116
projectID692464674e66f	78898	proj_submit_pgposted	100 professions for women	Van Deventer, Betty	64
projectID69287386e7f4f	79055	proj_submit_pgposted	The place called Dagon	Gorman, Herbert	313
projectID6939d320d854b	79160	proj_submit_pgposted	The man in the dark	Ferguson, John	313
projectID6939d5478964a	79125	proj_submit_pgposted	Best jokes of 1927	Roselle, Aubrey C.	62
projectID6945dba84d34c	78688	proj_submit_pgposted	The contrast (vol. 1 of 3)	Phipps, Constantine Henry	294
projectID69506eee5b067	78686	proj_submit_pgposted	Jack Brag (vol. 1 of 3)	Hook, Theodore Edward	315
projectID6952c8634d86a	78652	proj_submit_pgposted	A fisher girl of France	Calmettes, Fernand	331
projectID6952d8e9799cd	78839	proj_submit_pgposted	Bread and cake baking	Hauptmann, Frederick D.	68
projectID69552b98c1777	79270	proj_submit_pgposted	What you should know about palmistry	Markun, Leo	64
