e-nesbit_the-story-of-the-amulet	837
e-nesbit_the-story-of-the-treasure-seekers	770
e-nesbit_wet-magic	50361
e-pauline-johnson_legends-of-vancouver	3478
e-phillips-oppenheim_the-great-impersonation	5815
e-r-eddison_the-worm-ouroboros	67090
e-t-a-hoffmann_master-flea_george-soane	32223
e-w-hornung_a-thief-in-the-night	2098
e-w-hornung_the-amateur-cracksman	706
e-w-hornung_the-black-mask	707
edgar-allan-poe_poetry	2151
edgar-allan-poe_short-fiction	25525
edgar-allan-poe_the-narrative-of-arthur-gordon-pym-of-nantucket	2149
edgar-rice-burroughs_a-princess-of-mars	62
edgar-rice-burroughs_at-the-earths-core	123
edgar-rice-burroughs_beyond-thirty	149
edgar-rice-burroughs_jungle-tales-of-tarzan	106
edgar-rice-burroughs_pellucidar	605
edgar-rice-burroughs_pirates-of-venus	70195
edgar-rice-burroughs_tarzan-and-the-ant-men	61837
edgar-rice-burroughs_tarzan-and-the-golden-lion	58874
edgar-rice-burroughs_tarzan-and-the-jewels-of-opar	92
edgar-rice-burroughs_tarzan-lord-of-the-jungle	72938
edgar-rice-burroughs_tarzan-of-the-apes	78
edgar-rice-burroughs_tarzan-the-terrible	2020
edgar-rice-burroughs_tarzan-the-untamed	1401
edgar-rice-burroughs_the-beasts-of-tarzan	85
edgar-rice-burroughs_the-chessmen-of-mars	1153
edgar-rice-burroughs_the-gods-of-mars	64
edgar-rice-burroughs_the-land-that-time-forgot	551
edgar-rice-burroughs_the-land-that-time-forgot	552
edgar-rice-burroughs_the-land-that-time-forgot	553
edgar-rice-burroughs_the-master-mind-of-mars	69703
edgar-rice-burroughs_the-moon-maid	69338
edgar-rice-burroughs_the-mucker	331
edgar-rice-burroughs_the-outlaw-of-torn	369
edgar-rice-burroughs_the-return-of-tarzan	81
edgar-rice-burroughs_the-son-of-tarzan	90
edgar-rice-burroughs_the-warlord-of-mars	68
edgar-rice-burroughs_thuvia-maid-of-mars	72
edgar-saltus_mr-incouls-misadventure	47061
edgar-saltus_short-fiction	31924
edgar-saltus_short-fiction	34401
edgar-saltus_short-fiction	33123
edgar-saltus_short-fiction	31510
edgar-saltus_the-monster	47654
edgar-saltus_the-perfume-of-eros	33207
edgar-saltus_the-truth-about-tristrem-varick	33099
edgar-wallace_kate-plus-10	76212
edgar-wallace_the-avenger	69788
edgar-wallace_the-clue-of-the-new-pin	70882
edgar-wallace_the-clue-of-the-twisted-candle	2688
edgar-wallace_the-crimson-circle	76257
edgar-wallace_the-man-who-knew	24933
edgar-wallace_the-secret-house	26176
edison-marshall_shepherds-of-the-wild	67764
edith-wharton_ethan-frome	4517
edith-wharton_summer	166
edith-wharton_the-age-of-innocence	541
edith-wharton_the-house-of-mirth	284
edmond-de-goncourt_jules-de-goncourt_germinie-lacerteux_john-chestershire	27711
edna-ferber_so-big	61686
